date,year,gold,silver,platinum,coal_monthly,n_gas,oil,euro,gb_pound,dowjones_industrial,dowjones_transport,nasdaq,snp,southern_copper,rio_tinto,royal_gold,newmont,agnico_mines
1997-10-01,1997,333.5,5.16,1.46,37.15,3.12,21.05,1.1,1.62,8015.5,3203.6,1102.06,955.41,3.04,16.25,8.75,44.44,9.94
1997-10-02,1997,331.2,5.16,1.48,37.15,3.11,21.77,1.11,1.62,8027.5,3227.8,1112.84,960.46,3.02,16.22,8.56,44.88,9.81
1997-10-03,1997,334.6,5.28,1.5,37.15,3.12,22.76,1.12,1.62,8038.6,3207.8,1124.44,965.03,3.03,16.16,8.56,44.94,10.06
1997-10-06,1997,332.3,5.2,1.45,37.15,2.98,21.93,1.11,1.62,8100.2,3250.0,1125.93,972.69,3.01,16.22,8.25,44.25,9.81
1997-10-07,1997,331.2,5.19,1.41,37.15,2.88,21.96,1.11,1.62,8178.3,3281.2,1140.74,983.12,3.04,16.12,8.38,44.25,9.5
1997-10-08,1997,333.0,5.23,1.46,37.15,2.92,22.18,1.12,1.62,8095.1,3268.4,1145.34,973.84,3.0,16.12,8.38,45.06,9.69
1997-10-09,1997,327.5,5.12,1.48,37.15,2.93,22.12,1.12,1.62,8061.4,3272.97,1148.21,970.62,2.98,16.12,8.62,43.75,9.5
1997-10-10,1997,329.4,5.2,1.42,37.15,3.08,22.1,1.12,1.62,8045.2,3264.2,1137.77,966.98,3.0,16.06,8.5,44.5,9.56
1997-10-13,1997,328.2,5.15,1.41,37.15,3.03,21.32,1.12,1.62,8072.2,3288.7,1140.48,968.1,2.92,16.06,8.38,44.5,9.62
1997-10-14,1997,327.7,5.09,1.45,37.15,3.01,20.7,1.12,1.62,8096.3,3317.7,1131.43,970.28,2.96,16.06,8.44,44.19,9.44
1997-10-15,1997,326.7,5.07,1.47,37.15,3.04,20.57,1.12,1.62,8058.0,3359.3,1119.07,965.72,3.01,16.06,8.25,43.5,9.31
1997-10-16,1997,325.6,4.93,1.5,37.15,3.25,20.97,1.12,1.62,7938.9,3308.3,1099.38,955.25,2.96,16.0,8.12,43.12,9.12
1997-10-17,1997,325.0,4.96,1.48,37.15,3.29,20.59,1.11,1.62,7847.0,3254.4,1075.12,944.16,2.98,15.91,8.0,42.06,9.0
1997-10-20,1997,323.4,4.94,1.53,37.15,3.39,20.7,1.11,1.63,7921.4,3282.7,1088.25,955.61,2.96,15.91,8.75,41.56,8.94
1997-10-21,1997,322.45,4.97,1.56,37.15,3.4,20.67,1.1,1.63,8060.4,3368.3,1110.55,972.28,2.94,15.81,8.75,42.81,9.12
1997-10-22,1997,322.2,5.03,1.6,37.15,3.54,21.42,1.1,1.63,8034.6,3367.1,1098.71,968.49,2.92,15.44,8.25,44.0,9.25
1997-10-23,1997,323.4,4.94,1.59,37.15,3.43,21.09,1.12,1.63,7847.8,3292.6,1074.65,950.69,2.96,14.5,8.25,44.94,9.19
1997-10-24,1997,308.75,4.78,1.52,37.15,3.55,20.97,1.11,1.63,7715.4,3239.1,1057.34,941.64,2.88,14.38,7.5,41.56,8.38
1997-10-27,1997,311.6,4.8,1.44,37.15,3.78,21.07,1.12,1.66,7161.2,3004.6,978.13,876.99,2.69,13.38,7.06,34.62,7.69
1997-10-28,1997,315.5,4.82,1.44,37.15,3.47,20.46,1.13,1.67,7498.3,3099.8,1046.87,921.85,2.65,13.0,6.75,35.94,7.38
1997-10-29,1997,313.6,4.8,1.33,37.15,3.27,20.71,1.14,1.67,7506.7,3135.2,1029.76,919.16,2.65,13.62,6.62,35.19,7.0
1997-10-30,1997,316.2,4.88,1.28,37.15,3.48,21.22,1.14,1.67,7381.7,3091.6,1000.7,903.68,2.6,13.38,6.88,36.25,7.38
1997-10-31,1997,311.2,4.75,1.27,37.15,3.55,21.08,1.14,1.67,7442.1,3131.5,1019.62,914.62,2.62,13.0,6.75,35.0,7.12
1997-11-03,1997,313.2,4.84,1.31,37.15,3.37,20.96,1.14,1.68,7674.4,3203.3,1050.72,938.99,2.74,13.44,6.62,35.12,7.19
1997-11-04,1997,313.6,4.85,1.22,37.15,3.42,20.7,1.15,1.68,7689.1,3201.8,1047.62,940.76,2.81,13.56,6.5,35.06,6.94
1997-11-05,1997,313.3,4.87,1.28,37.15,3.47,20.31,1.15,1.68,7692.6,3207.5,1046.92,942.76,2.81,13.41,6.75,34.62,6.88
1997-11-06,1997,312.2,4.91,1.3,37.15,3.39,20.39,1.15,1.69,7683.2,3211.6,1034.17,938.03,2.79,13.69,6.75,34.12,6.62
1997-11-07,1997,310.0,4.87,1.25,37.15,3.26,20.77,1.16,1.69,7581.3,3184.2,1028.32,927.51,2.74,12.94,6.75,33.0,5.94
1997-11-10,1997,309.9,4.88,1.2,37.15,3.43,20.4,1.16,1.7,7552.6,3143.0,1011.54,921.13,2.68,13.0,6.75,32.06,6.0
1997-11-11,1997,309.5,4.93,1.2,37.15,3.5,20.51,1.16,1.7,7558.7,3148.9,1010.96,923.78,2.69,13.25,6.88,32.19,5.88
1997-11-12,1997,307.2,4.9,1.23,37.15,3.48,20.49,1.15,1.7,7401.3,3086.7,980.12,905.96,2.6,12.94,6.5,30.94,5.56
1997-11-13,1997,307.6,5.14,1.22,37.15,3.25,20.7,1.15,1.7,7487.8,3068.4,1005.25,916.66,2.6,12.78,6.5,31.75,5.5
1997-11-14,1997,303.1,5.09,1.22,37.15,3.03,21.0,1.14,1.69,7572.5,3106.7,1027.85,928.35,2.6,12.62,6.75,31.06,5.0
1997-11-17,1997,303.6,5.14,1.19,37.15,2.97,20.26,1.14,1.7,7698.2,3149.6,1049.7,946.2,2.52,12.75,6.62,31.62,4.94
1997-11-18,1997,306.5,5.11,1.14,37.15,2.95,20.04,1.14,1.69,7650.8,3110.8,1036.31,938.23,2.51,12.67,6.38,31.31,5.44
